[TRACE] 18:03:38:281 SWAP/(3861:3861): Pag: 67, Estado: 0
[TRACE] 18:03:38:282 SWAP/(3861:3861): Pag: 68, Estado: 0
[TRACE] 18:03:38:282 SWAP/(3861:3861): Pag: 69, Estado: 0
[TRACE] 18:03:38:282 SWAP/(3861:3861): Pag: 70, Estado: 0
[TRACE] 18:03:38:282 SWAP/(3861:3861): Pag: 71, Estado: 0
[TRACE] 18:03:38:283 SWAP/(3861:3861): Pag: 72, Estado: 0
[TRACE] 18:03:38:291 SWAP/(3861:3861): Pag: 73, Estado: 0
[TRACE] 18:03:38:291 SWAP/(3861:3861): Pag: 74, Estado: 0
[TRACE] 18:03:38:291 SWAP/(3861:3861): Pag: 75, Estado: 0
[TRACE] 18:03:38:292 SWAP/(3861:3861): Pag: 76, Estado: 0
[TRACE] 18:03:38:292 SWAP/(3861:3861): Pag: 77, Estado: 0
[TRACE] 18:03:38:292 SWAP/(3861:3861): Pag: 78, Estado: 0
[TRACE] 18:03:38:292 SWAP/(3861:3861): Pag: 79, Estado: 0
[TRACE] 18:03:38:292 SWAP/(3861:3861): Pag: 80, Estado: 0
[TRACE] 18:03:38:293 SWAP/(3861:3861): Pag: 81, Estado: 0
[TRACE] 18:03:38:293 SWAP/(3861:3861): Pag: 82, Estado: 0
[TRACE] 18:03:38:293 SWAP/(3861:3861): Pag: 83, Estado: 0
[TRACE] 18:03:38:293 SWAP/(3861:3861): Pag: 84, Estado: 0
[TRACE] 18:03:38:294 SWAP/(3861:3861): Pag: 85, Estado: 0
[TRACE] 18:03:38:294 SWAP/(3861:3861): Pag: 86, Estado: 0
[TRACE] 18:03:38:294 SWAP/(3861:3861): Pag: 87, Estado: 0
[TRACE] 18:03:38:295 SWAP/(3861:3861): Pag: 88, Estado: 0
[TRACE] 18:03:38:303 SWAP/(3861:3861): Pag: 89, Estado: 0
[TRACE] 18:03:38:303 SWAP/(3861:3861): Pag: 90, Estado: 0
[TRACE] 18:03:38:303 SWAP/(3861:3861): Pag: 91, Estado: 0
[TRACE] 18:03:38:304 SWAP/(3861:3861): Pag: 92, Estado: 0
[TRACE] 18:03:38:304 SWAP/(3861:3861): Pag: 93, Estado: 0
[TRACE] 18:03:38:304 SWAP/(3861:3861): Pag: 94, Estado: 0
[TRACE] 18:03:38:304 SWAP/(3861:3861): Pag: 95, Estado: 0
[TRACE] 18:03:38:304 SWAP/(3861:3861): Pag: 96, Estado: 0
[TRACE] 18:03:38:305 SWAP/(3861:3861): Pag: 97, Estado: 0
[TRACE] 18:03:38:305 SWAP/(3861:3861): Pag: 98, Estado: 0
[TRACE] 18:03:38:305 SWAP/(3861:3861): Pag: 99, Estado: 0
[TRACE] 18:05:43:368 SWAP/(3861:3861): Pag: 0, Estado: 1
[TRACE] 18:05:43:369 SWAP/(3861:3861): Pag: 1, Estado: 1
[TRACE] 18:05:43:369 SWAP/(3861:3861): Pag: 2, Estado: 1
[TRACE] 18:05:43:369 SWAP/(3861:3861): Pag: 3, Estado: 1
[TRACE] 18:05:43:369 SWAP/(3861:3861): Pag: 4, Estado: 1
[TRACE] 18:05:43:369 SWAP/(3861:3861): Pag: 5, Estado: 1
[TRACE] 18:05:43:370 SWAP/(3861:3861): Pag: 6, Estado: 1
[TRACE] 18:05:43:370 SWAP/(3861:3861): Pag: 7, Estado: 1
[TRACE] 18:05:43:370 SWAP/(3861:3861): Pag: 8, Estado: 1
[TRACE] 18:05:43:370 SWAP/(3861:3861): Pag: 9, Estado: 1
[TRACE] 18:05:43:371 SWAP/(3861:3861): Pag: 10, Estado: 0
[TRACE] 18:05:43:382 SWAP/(3861:3861): Pag: 11, Estado: 0
[TRACE] 18:05:43:382 SWAP/(3861:3861): Pag: 12, Estado: 0
[TRACE] 18:05:43:383 SWAP/(3861:3861): Pag: 13, Estado: 0
[TRACE] 18:05:43:383 SWAP/(3861:3861): Pag: 14, Estado: 0
[TRACE] 18:05:43:383 SWAP/(3861:3861): Pag: 15, Estado: 0
[TRACE] 18:05:43:383 SWAP/(3861:3861): Pag: 16, Estado: 0
[TRACE] 18:05:43:384 SWAP/(3861:3861): Pag: 17, Estado: 0
[TRACE] 18:05:43:384 SWAP/(3861:3861): Pag: 18, Estado: 0
[TRACE] 18:05:43:384 SWAP/(3861:3861): Pag: 19, Estado: 0
[TRACE] 18:05:43:384 SWAP/(3861:3861): Pag: 20, Estado: 0
[TRACE] 18:05:43:395 SWAP/(3861:3861): Pag: 21, Estado: 0
[TRACE] 18:05:43:395 SWAP/(3861:3861): Pag: 22, Estado: 0
[TRACE] 18:05:43:395 SWAP/(3861:3861): Pag: 23, Estado: 0
[TRACE] 18:05:43:396 SWAP/(3861:3861): Pag: 24, Estado: 0
[TRACE] 18:05:43:396 SWAP/(3861:3861): Pag: 25, Estado: 0
[TRACE] 18:05:43:396 SWAP/(3861:3861): Pag: 26, Estado: 0
[TRACE] 18:05:43:396 SWAP/(3861:3861): Pag: 27, Estado: 0
[TRACE] 18:05:43:397 SWAP/(3861:3861): Pag: 28, Estado: 0
[TRACE] 18:05:43:397 SWAP/(3861:3861): Pag: 29, Estado: 0
[TRACE] 18:05:43:397 SWAP/(3861:3861): Pag: 30, Estado: 0
[TRACE] 18:05:43:397 SWAP/(3861:3861): Pag: 31, Estado: 0
[TRACE] 18:05:43:398 SWAP/(3861:3861): Pag: 32, Estado: 0
[TRACE] 18:05:43:398 SWAP/(3861:3861): Pag: 33, Estado: 0
[TRACE] 18:05:43:398 SWAP/(3861:3861): Pag: 34, Estado: 0
[TRACE] 18:05:43:398 SWAP/(3861:3861): Pag: 35, Estado: 0
[TRACE] 18:05:43:399 SWAP/(3861:3861): Pag: 36, Estado: 0
[TRACE] 18:05:43:413 SWAP/(3861:3861): Pag: 37, Estado: 0
[TRACE] 18:05:43:413 SWAP/(3861:3861): Pag: 38, Estado: 0
[TRACE] 18:05:43:414 SWAP/(3861:3861): Pag: 39, Estado: 0
